slug,name,unit,basis,price_low_usd,price_median_usd,price_high_usd,spread_pct,pct_in_window,confidence,as_of,sources,url
cherry-tomato,Cherry tomatoes,carton,wholesale,22.56,23.75,26.38,16.1,31,medium,2026-07-16,8,https://muntin.digital/cost-index/cherry-tomato/
acorn-squash,Acorn squash,carton,wholesale,35.25,40,42.25,17.5,68,low,2026-07-16,7,https://muntin.digital/cost-index/acorn-squash/
serrano-pepper,Serrano pepper,carton,wholesale,31.19,32.25,37,18,18,low,2026-07-16,8,https://muntin.digital/cost-index/serrano-pepper/
poblano-pepper,Poblano pepper,carton,wholesale,27.25,29,33.75,22.4,27,low,2026-07-16,7,https://muntin.digital/cost-index/poblano-pepper/
habanero-pepper,Habanero pepper,carton,wholesale,33.44,35.13,42.06,24.5,20,low,2026-07-16,8,https://muntin.digital/cost-index/habanero-pepper/
mint,Mint,carton,wholesale,8.44,12.63,14.5,48,69,low,2026-07-16,8,https://muntin.digital/cost-index/mint/
rosemary,Rosemary,carton,wholesale,6.81,8,8.5,21.1,70,low,2026-07-16,8,https://muntin.digital/cost-index/rosemary/
thyme,Thyme,carton,wholesale,7.88,8.47,10.21,27.5,25,low,2026-07-16,8,https://muntin.digital/cost-index/thyme/
oregano,Oregano,carton,wholesale,7.24,8,8.77,19.1,50,low,2026-07-16,8,https://muntin.digital/cost-index/oregano/
tarragon,Tarragon,carton,wholesale,7.94,10.88,12.13,38.5,70,low,2026-07-16,6,https://muntin.digital/cost-index/tarragon/
dill,Dill,carton,wholesale,14.25,23,25.44,48.7,78,low,2026-07-14,7,https://muntin.digital/cost-index/dill/
red-onion,Red onion,sack,wholesale,20.38,22.5,27.66,32.4,29,low,2026-07-16,8,https://muntin.digital/cost-index/red-onion/
red-potato,Red potato,sack,wholesale,29.75,32.88,35.25,16.7,57,medium,2026-07-16,8,https://muntin.digital/cost-index/red-potato/
grapefruit,Grapefruit,carton,wholesale,28.25,34.63,35.75,21.7,85,low,2026-07-16,8,https://muntin.digital/cost-index/grapefruit/
apple,Apples,carton,wholesale,34.88,38.5,39.63,12.3,76,low,2026-07-16,8,https://muntin.digital/cost-index/apple/
pear,Pears,carton,wholesale,39.25,41,41.63,5.8,74,low,2026-07-16,8,https://muntin.digital/cost-index/pear/
banana,Bananas,carton,wholesale,21.38,21.75,22.75,6.3,27,low,2026-07-16,8,https://muntin.digital/cost-index/banana/
cantaloupe,Cantaloupe,carton,wholesale,29.32,33.38,37.44,24.3,50,low,2026-07-16,8,https://muntin.digital/cost-index/cantaloupe/
blueberry,Blueberries,carton,wholesale,24.13,28.13,31.07,24.7,58,low,2026-07-16,8,https://muntin.digital/cost-index/blueberry/
raspberry,Raspberries,carton,wholesale,32.75,35.5,38.06,15,52,low,2026-07-16,8,https://muntin.digital/cost-index/raspberry/
whole-turkey,Whole turkey,lb,wholesale,1.73,1.81,1.88,8.3,53,medium,2026-07-06,1,https://muntin.digital/cost-index/whole-turkey/
