anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
butternut-squash,cabbage,1,6
butternut-squash,cantaloupe,1,6
butternut-squash,cucumber,1,6
butternut-squash,eggs,1,6
butternut-squash,leek,1,6
butternut-squash,onion,1,6
butternut-squash,pear,1,6
butternut-squash,red-potato,1,6
butternut-squash,ribeye,1,6
butternut-squash,vegetable-oil,1,6
cabbage,kale,3,6
cabbage,broccoli,2,6
cabbage,jalapeno,2,6
cabbage,pineapple,2,6
cabbage,watermelon,2,6
cabbage,zucchini,2,6
cabbage,asparagus,1,6
cabbage,blueberry,1,6
cabbage,butter,1,6
cabbage,butternut-squash,1,6
cabbage,cauliflower,1,6
cabbage,celery,1,6
cabbage,collard-greens,1,6
cabbage,eggplant,1,6
cabbage,leek,1,6
cabbage,poblano-pepper,1,6
cabbage,pumpkin,1,6
cabbage,red-leaf-lettuce,1,6
cabbage,red-onion,1,6
cabbage,romaine-lettuce,1,6
cabbage,spinach,1,6
cabbage,tomato,1,6
cabbage,yellow-squash,1,6
cantaloupe,cherry-tomato,2,6
cantaloupe,lemon,2,6
cantaloupe,tomato,2,6
cantaloupe,acorn-squash,1,6
cantaloupe,bell-pepper,1,6
cantaloupe,blueberry,1,6
cantaloupe,butter,1,6
cantaloupe,butter-lettuce,1,6
cantaloupe,butternut-squash,1,6
cantaloupe,cauliflower,1,6
cantaloupe,celery,1,6
cantaloupe,corn-on-the-cob,1,6
cantaloupe,eggs,1,6
cantaloupe,garlic,1,6
cantaloupe,parsley,1,6
cantaloupe,pear,1,6
cantaloupe,pork-loin,1,6
cantaloupe,ribeye,1,6
cantaloupe,snow-peas,1,6
cantaloupe,watermelon,1,6
carrot,rutabaga,4,6
carrot,avocado,2,6
carrot,bell-pepper,2,6
carrot,grapefruit,2,6
carrot,green-beans,2,6
carrot,pear,2,6
carrot,russet-potato,2,6
carrot,vegetable-oil,2,6
carrot,apple,1,6
carrot,broccoli,1,6
carrot,brussels-sprouts,1,6
carrot,cauliflower,1,6
carrot,cherry-tomato,1,6
carrot,chicken-breast,1,6
carrot,chicken-thigh,1,6
carrot,dill,1,6
carrot,green-leaf-lettuce,1,6
carrot,jalapeno,1,6
carrot,leek,1,6
carrot,lemon,1,6
carrot,poblano-pepper,1,6
carrot,short-rib,1,6
carrot,spinach,1,6
carrot,tomato,1,6
cauliflower,broccoli,3,6
cauliflower,iceberg-lettuce,2,6
cauliflower,leek,2,6
cauliflower,zucchini,2,6
cauliflower,artichoke,1,6
cauliflower,asparagus,1,6
cauliflower,beef-tenderloin,1,6
cauliflower,butter,1,6
cauliflower,cabbage,1,6
cauliflower,cantaloupe,1,6
cauliflower,carrot,1,6
cauliflower,celery,1,6
cauliflower,corn-on-the-cob,1,6
cauliflower,green-leaf-lettuce,1,6
cauliflower,lemon,1,6
cauliflower,lime,1,6
cauliflower,napa-cabbage,1,6
cauliflower,parsley,1,6
cauliflower,pear,1,6
cauliflower,red-leaf-lettuce,1,6
cauliflower,ribeye,1,6
cauliflower,romaine-lettuce,1,6
cauliflower,rutabaga,1,6
cauliflower,snow-peas,1,6
cauliflower,striploin,1,6
celery,beet,2,6
celery,butternut-squash,2,6
celery,cucumber,2,6
celery,eggplant,2,6
celery,iceberg-lettuce,2,6
celery,okra,2,6
celery,red-leaf-lettuce,2,6
