slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,us_export_value_usd,us_production_usd,us_landings_value_usd,us_landings_year,us_landings_wild_minimal,import_mostly_farmed,farm_price,farm_price_unit,import_reliance_pct,import_reliance_year,import_reliance_scope,import_years,import_peak_months,import_peak_quarter_share,import_hs6,import_yoy_pct,import_source_concentration,import_source_hhi,import_top_sources,notable_events_n,median_shock_days,biggest_move_pct,biggest_move_date,comovers
cherry,Cherry (sweet),fruit,,,,,,,,,,,208820452,471557521,670212000,,,,,0.468,$ / LB,51,2025,item,2012-2025,1;8;12,37,080929,85.5,concentrated,0.56,Chile:71%;Canada:24%;Argentina:4%,,,,,
coconut,Coconut,fruit,,,,,,,,,,,193343301,3650705,,,,,,,,,,,2010-2025,7;8;10,28,080111+080119,31.8,concentrated,0.3,Philippines:50%;Mexico:18%;Thailand:10%,,,,,
dates,Dates,fruit,,,,,,,,,,,119564461,120627064,203351000,,,,,,,59,2025,item,2010-2025,2;3;4,30,080410,25.9,diversified,0.23,Mexico:42%;Israel:12%;Turkey:12%,,,,,
orange,Orange,citrus,,,,,,,,,,,281238450,489749954,1093363000,,,,,15.28,"$ / BOX, ON TREE EQUIV",32,2025,item,2010-2025,7;8;9,65,080510,7.7,concentrated,0.26,Chile:40%;Mexico:22%;South Africa:21%,,,,,
cashew,Cashew,nut,,,,,,,,,,,837842754,5604026,,,,,,,,,,,2010-2025,7;8;9,29,080132,-19.6,concentrated,0.78,Vietnam:88%;Cote D'Ivoire:6%;Brazil:2%,,,,,
almond,Almond,nut,,,,,,,,,,,10000119,4430563688,6874400000,,,,,2.6,$ / LB,0,2025,item,2010-2025,4;7;12,28,080212,-27.6,concentrated,0.38,Spain:58%;Australia:14%;Canada:14%,,,,,
walnut,Walnut,nut,,,,,,,,,,,6131038,995559299,1302490000,,,,,1610,$ / TON,2,2025,item,2010-2025,1;3;12,29,080232,42.9,concentrated,0.25,Canada:37%;Mexico:27%;Turkey:17%,,,,,
pistachio,Pistachio,nut,,,,,,,,,,,3162585,248529343,3918400000,,,,,2.48,$ / LB,0,2025,item,2012-2025,3;9;12,30,080252,-58.1,concentrated,0.6,Turkey:76%;Canada:13%;Italy:5%,,,,,
pecan,Pecan,nut,,,,,,,,,,,341114586,295160446,595640000,,,,,2.1,$ / LB,53,2025,item,2010-2025,1;11;12,36,080290+080299,-31.6,single-source,0.98,Mexico:99%;China:0%;Mongolia:0%,,,,,
macadamia,Macadamia,nut,,,,,,,,,,,113542760,1045094,,,,,,1.04,$ / LB,,,,2012-2025,8;9;11,32,080262,21,concentrated,0.25,South Africa:37%;Kenya:26%;Vietnam:17%,,,,,
tilapia,Tilapia,seafood,,,,,,,,,,,637586484,4063562,,,,,,,,,,,2012-2025,1;2;12,27,030461+030431+030323,-7.5,concentrated,0.29,China:50%;Indonesia:9%;Colombia:9%,,,,,
cod,Cod,seafood,,,,,,,,,,,433790344,36451407,,109349772,2024,false,false,,,,,,2012-2025,1;2;12,27,030471+030251,-5.8,concentrated,0.38,China:59%;Iceland:12%;Vietnam:11%,,,,,
catfish,Catfish,seafood,,,,,,,,,,,349741153,1890460,,,,,,,,,,,2012-2025,1;6;7,27,030462+030324,-1,single-source,0.91,Vietnam:95%;China:5%;Thailand:0%,,,,,
haddock,Haddock,seafood,,,,,,,,,,,144316709,502362,,9692185,2024,false,false,,,,,,2012-2025,1;11;12,30,030472,46.6,concentrated,0.31,China:46%;Iceland:27%;Indonesia:11%,,,,,
branzino,Branzino / sea bass,seafood,,,,,,,,,,,121406821,366709,,,,,,,,,,,2012-2025,3;10;12,26,030284,8.2,concentrated,0.31,Turkey:43%;Spain:25%;Greece:24%,,,,,
ahi-tuna,Ahi tuna (fresh),seafood,,,,,,,,,,,257819287,4948725,,102373732,2024,false,false,,,,,,2010-2025,3;5;6,27,030232+030235,-7.9,diversified,0.16,Mexico:32%;Spain:16%;Panama:14%,,,,,
