slug,month,median_cents,p25_cents,p75_cents,n
pork-loin,1,84,82,86,21
pork-loin,2,87,84,92,20
pork-loin,3,89,86,93,22
pork-loin,4,90,87,98,22
pork-loin,5,92,87,100,22
pork-loin,6,96,94,101,22
pork-loin,7,100,97,101,18
pork-loin,8,98,96,100,18
pork-loin,9,98,96,98,16
pork-loin,10,93,90,94,18
pork-loin,11,84,83,88,18
pork-loin,12,82,81,84,18
pork-shoulder,1,106,102,109,21
pork-shoulder,2,107,101,111,20
pork-shoulder,3,113,106,116,22
pork-shoulder,4,116,110,117,22
pork-shoulder,5,127,116,131,22
pork-shoulder,6,133,127,145,22
pork-shoulder,7,125,117,152,18
pork-shoulder,8,110,107,118,18
pork-shoulder,9,114,107,123,16
pork-shoulder,10,105,104,115,18
pork-shoulder,11,107,100,108,18
pork-shoulder,12,109,107,110,18
raspberry,1,2740,2325,3340,21
raspberry,2,2935,2379,3631,20
raspberry,3,2323,2088,2605,22
raspberry,4,2773,2273,3039,22
raspberry,5,2768,2398,3205,22
raspberry,6,1460,1225,2280,21
raspberry,7,2080,1035,2443,19
raspberry,8,2210,1660,2773,18
raspberry,9,2408,1800,2744,16
raspberry,10,1483,1070,1671,18
raspberry,11,1763,1081,2025,18
raspberry,12,1948,1624,2501,18
red-leaf-lettuce,1,1725,1550,2250,21
red-leaf-lettuce,2,1825,1728,2380,20
red-leaf-lettuce,3,2160,1713,2511,22
red-leaf-lettuce,4,2165,1862,2538,22
red-leaf-lettuce,5,2405,1693,3304,22
red-leaf-lettuce,6,1948,1620,2446,22
red-leaf-lettuce,7,2215,1602,2589,18
red-leaf-lettuce,8,2469,1653,2547,18
red-leaf-lettuce,9,2250,1686,2579,16
red-leaf-lettuce,10,2575,1855,3063,18
red-leaf-lettuce,11,3070,2013,4577,18
red-leaf-lettuce,12,2791,2100,3125,18
red-onion,1,1925,1800,2019,21
red-onion,2,1843,1800,2154,20
red-onion,3,1970,1548,2548,22
red-onion,4,1725,1435,3015,22
red-onion,5,1915,1550,3175,22
red-onion,6,1840,1575,2700,21
red-onion,7,2080,1588,2563,19
red-onion,8,2125,1828,2225,18
red-onion,9,1870,1633,2094,16
red-onion,10,1900,1513,2008,18
red-onion,11,1725,1613,1895,18
red-onion,12,1763,1419,1900,18
red-potato,1,3825,2950,3950,21
red-potato,2,3650,2750,3851,20
red-potato,3,3573,2750,3643,22
red-potato,4,3450,2750,3450,22
red-potato,5,3450,2905,3590,22
red-potato,6,3150,3050,3700,21
red-potato,7,3775,2975,4175,19
red-potato,8,4268,3678,4570,18
red-potato,9,3650,3538,4113,16
red-potato,10,3738,2944,4103,18
red-potato,11,3683,3450,4275,18
red-potato,12,3825,2990,3950,18
ribeye,1,1018,973,1070,21
ribeye,2,977,964,1015,20
ribeye,3,1012,977,1058,22
ribeye,4,1036,920,1171,22
ribeye,5,1010,906,1133,22
ribeye,6,1076,997,1159,22
ribeye,7,969,925,1058,18
ribeye,8,960,932,1142,18
ribeye,9,1083,968,1230,16
ribeye,10,1131,1054,1332,18
ribeye,11,1227,1129,1373,18
ribeye,12,1304,1215,1410,18
romaine-lettuce,1,2050,1750,2438,21
romaine-lettuce,2,2338,1825,2703,20
romaine-lettuce,3,2950,2300,3685,22
romaine-lettuce,4,2635,2394,3179,22
romaine-lettuce,5,2538,2375,3716,22
romaine-lettuce,6,2735,2373,3055,22
romaine-lettuce,7,2819,1811,3171,18
romaine-lettuce,8,2600,1798,3218,18
romaine-lettuce,9,2600,1928,3422,16
romaine-lettuce,10,2477,1660,4947,18
romaine-lettuce,11,3872,2175,5463,18
romaine-lettuce,12,2853,1800,3460,18
russet-potato,1,1700,1500,2330,21
russet-potato,2,1500,1373,2350,20
russet-potato,3,1475,1363,2350,22
russet-potato,4,1450,1400,2200,22
russet-potato,5,1540,1393,2200,22
russet-potato,6,1538,1413,2360,22
russet-potato,7,1608,1515,3400,18
russet-potato,8,3200,1625,4093,18
russet-potato,9,1825,1580,2889,16
russet-potato,10,1600,1431,1934,18
russet-potato,11,1630,1506,2718,18
russet-potato,12,1500,1331,1798,18
rutabaga,1,3000,2900,3000,21
rutabaga,2,3000,2900,3000,20
rutabaga,3,3000,2900,3000,22
rutabaga,4,2950,2900,3000,22
rutabaga,5,2900,2900,3000,22
rutabaga,6,2930,2825,3000,22
rutabaga,7,2850,2500,2900,18
rutabaga,8,2850,2800,3313,18
rutabaga,9,2800,2663,2900,16
rutabaga,10,2900,2525,2900,18
rutabaga,11,2900,2900,3000,18
rutabaga,12,2950,2900,3000,18
short-rib,1,595,548,611,21
short-rib,2,585,576,604,20
short-rib,3,581,547,590,22
short-rib,4,572,514,580,22
short-rib,5,584,510,595,22
short-rib,6,590,550,602,22
short-rib,7,596,592,617,18
short-rib,8,607,573,612,18
short-rib,9,575,551,589,16
short-rib,10,569,552,579,18
short-rib,11,540,499,563,18
short-rib,12,551,518,572,18
spinach,1,1895,1700,2950,21
spinach,2,1775,1700,3250,20
spinach,3,1783,1700,1846,22
spinach,4,1805,1764,1883,22
spinach,5,1884,1825,2018,22
spinach,6,1657,1555,1798,22
spinach,7,1673,1563,1769,18
spinach,8,1880,1633,2125,18
spinach,9,1840,1688,2081,16
spinach,10,1838,1704,2016,18
spinach,11,1845,1670,2150,18
spinach,12,2730,1844,3111,18
striploin,1,778,746,846,21
striploin,2,837,785,952,20
striploin,3,893,774,981,22
striploin,4,969,787,1065,22
striploin,5,956,821,1065,22
striploin,6,1105,938,1126,22
striploin,7,910,862,1021,18
striploin,8,826,735,851,18
striploin,9,664,646,729,16
striploin,10,681,626,832,18
striploin,11,752,630,796,18
striploin,12,759,742,850,18
tomato,1,2300,1842,2875,21
tomato,2,1735,1620,2320,20
tomato,3,1650,1465,2489,22
tomato,4,1805,1565,2820,22
tomato,5,1875,1750,2760,22
tomato,6,1794,1570,1938,22
tomato,7,1900,1750,2175,18
tomato,8,1873,1761,2243,18
tomato,9,1917,1650,2152,16
tomato,10,1925,1768,2300,18
tomato,11,2450,2100,3138,18
tomato,12,3125,2200,3457,18
watermelon,1,2956,2756,3350,21
watermelon,2,2898,2574,3370,20
watermelon,3,3575,3109,4088,22
watermelon,4,3625,3358,3989,22
watermelon,5,2715,2625,2900,22
watermelon,6,2944,2550,4043,21
watermelon,7,2913,2480,3133,19
watermelon,8,2700,2466,3480,18
watermelon,9,2657,2420,2766,16
watermelon,10,2570,2435,2650,18
watermelon,11,2825,2100,3035,18
watermelon,12,3115,2350,3350,18
yellow-squash,1,1750,1650,2575,21
yellow-squash,2,2560,1950,2600,20
yellow-squash,3,2215,1913,2600,22
yellow-squash,4,1825,1600,2088,22
yellow-squash,5,1840,1500,2200,22
yellow-squash,6,1773,1638,2190,22
yellow-squash,7,1428,1210,1695,18
yellow-squash,8,1700,1570,2298,18
yellow-squash,9,1850,1700,2277,16
yellow-squash,10,1700,1510,1794,18
yellow-squash,11,1788,1630,1900,18
yellow-squash,12,2100,1725,2435,18
zucchini,1,2075,1303,2650,21
zucchini,2,1735,1475,2123,20
zucchini,3,1483,1100,1763,22
zucchini,4,1210,1113,1445,22
zucchini,5,1400,1250,1650,22
zucchini,6,1325,1150,1494,22
zucchini,7,1300,1253,1373,18
zucchini,8,1260,1100,1628,18
zucchini,9,1550,1500,1645,16
zucchini,10,1475,1290,1677,18
zucchini,11,1350,1143,1665,18
zucchini,12,1250,1107,1720,18
artichoke,1,3800,3300,5030,21
artichoke,2,3270,2965,3743,20
artichoke,3,2710,2363,3025,22
artichoke,4,3020,2738,3593,22
artichoke,5,3850,3360,4250,21
artichoke,6,3517,3200,4375,22
artichoke,7,3200,2558,3331,18
artichoke,8,2648,2250,3160,18
artichoke,9,3020,2278,3663,16
artichoke,10,3658,2885,4795,18
artichoke,11,3995,3556,4619,18
artichoke,12,4825,4640,5000,18
broccoli,1,2950,2368,3425,21
broccoli,2,2950,2052,3775,20
broccoli,3,3110,2656,3306,22
broccoli,4,3140,3054,3363,22
broccoli,5,2675,2480,3237,22
broccoli,6,2450,2188,2815,22
broccoli,7,2993,2727,3076,18
broccoli,8,2640,2475,3100,18
broccoli,9,2675,2619,3013,16
broccoli,10,3128,2658,4005,17
broccoli,11,3025,2229,4003,18
broccoli,12,3090,2410,4290,18
butter,1,249,206,260,22
butter,2,259,242,266,20
butter,3,248,237,273,22
butter,4,242,234,277,22
butter,5,241,235,276,22
butter,6,248,244,293,20
butter,7,275,247,297,18
butter,8,280,254,307,18
butter,9,271,268,309,17
butter,10,308,274,317,17
butter,11,271,199,315,18
butter,12,267,259,285,18
cheddar-cheese,1,181,153,193,22
cheddar-cheese,2,192,154,198,20
cheddar-cheese,3,192,160,194,22
cheddar-cheese,4,179,161,197,22
cheddar-cheese,5,175,166,185,22
cheddar-cheese,6,189,166,193,20
cheddar-cheese,7,193,159,211,18
cheddar-cheese,8,189,172,196,18
cheddar-cheese,9,194,188,201,17
cheddar-cheese,10,194,182,203,17
cheddar-cheese,11,184,177,205,18
cheddar-cheese,12,177,166,202,18
green-beans,1,2800,2500,4400,21
green-beans,2,3965,3038,4785,20
green-beans,3,2200,2060,2400,21
green-beans,4,2530,2200,3085,22
green-beans,5,3085,2435,3533,22
green-beans,6,2780,2425,3053,22
green-beans,7,2788,2510,3381,18
green-beans,8,2250,2033,2810,18
green-beans,9,2390,2208,2753,16
green-beans,10,2690,2113,4133,18
green-beans,11,4493,3945,4910,18
green-beans,12,3544,3010,3900,18
serrano-pepper,1,2800,2140,3500,21
serrano-pepper,2,2190,1900,2813,20
serrano-pepper,3,2938,2143,3423,22
serrano-pepper,4,3480,2950,5520,22
serrano-pepper,5,3825,2620,6350,22
serrano-pepper,6,3458,2671,4078,22
serrano-pepper,7,3145,2778,3965,18
serrano-pepper,8,2500,2500,3500,18
serrano-pepper,9,3383,2688,3700,16
serrano-pepper,10,2910,2700,3338,19
serrano-pepper,11,3960,3595,4368,16
serrano-pepper,12,3900,3462,4781,18
acorn-squash,1,2425,2050,2825,21
acorn-squash,2,2603,2050,2788,20
acorn-squash,3,2450,2050,2575,22
acorn-squash,4,2325,1950,2675,21
acorn-squash,5,2575,2400,3350,21
acorn-squash,6,2820,2400,3750,22
acorn-squash,7,2420,2350,2638,18
acorn-squash,8,2675,2450,2895,18
acorn-squash,9,2825,2650,2988,16
acorn-squash,10,2500,2295,2909,18
acorn-squash,11,2300,2100,2838,18
acorn-squash,12,2100,2050,2433,18
carrot,1,2750,2450,3031,20
carrot,2,2750,2450,2950,20
carrot,3,2750,2450,2850,22
carrot,4,3020,2450,3500,22
carrot,5,3350,2450,3500,22
carrot,6,3050,2464,3350,22
carrot,7,3200,2860,3325,18
carrot,8,3198,2750,3344,18
carrot,9,3025,2740,3238,16
carrot,10,2850,2475,3200,18
carrot,11,2663,2081,2950,18
carrot,12,2475,2450,2950,17
okra,1,2440,2090,2925,20
okra,2,2688,2250,3314,20
okra,3,2300,2060,2460,21
okra,4,2128,1845,2420,22
okra,5,1863,1628,2031,22
okra,6,1950,1825,2000,22
okra,7,1850,1775,1994,18
okra,8,1723,1671,1873,18
okra,9,1865,1679,1980,16
okra,10,1982,1706,2000,18
okra,11,2020,1828,2225,18
okra,12,2350,1930,2488,17
butter-lettuce,1,2000,1650,2678,21
butter-lettuce,2,2000,1650,2388,20
butter-lettuce,3,1980,1913,2238,22
butter-lettuce,4,2289,1913,2388,22
butter-lettuce,5,2054,1613,2576,22
butter-lettuce,6,2193,1750,2600,22
butter-lettuce,7,2000,1903,2263,18
butter-lettuce,8,2000,1905,2150,18
butter-lettuce,9,2000,1950,2150,13
butter-lettuce,10,2000,2000,2400,17
butter-lettuce,11,2250,2106,2689,18
butter-lettuce,12,2310,2000,2975,18
corn-on-the-cob,1,2620,2475,2825,21
corn-on-the-cob,2,2941,2549,3128,20
corn-on-the-cob,3,2658,2293,2848,22
corn-on-the-cob,4,2670,2532,2900,22
corn-on-the-cob,5,2565,2502,2905,22
corn-on-the-cob,6,2792,2628,3000,22
corn-on-the-cob,7,2788,2725,2871,18
corn-on-the-cob,8,2723,2361,3068,18
corn-on-the-cob,9,2725,2575,2991,16
corn-on-the-cob,10,2920,2718,3144,15
corn-on-the-cob,11,3062,2681,3515,16
corn-on-the-cob,12,2656,2564,2796,18
garlic,1,7200,6925,7550,21
garlic,2,7000,6950,7165,20
garlic,3,6950,6581,7000,22
garlic,4,7000,6150,7194,22
garlic,5,7000,5770,7150,22
garlic,6,6200,5807,7000,22
garlic,7,6250,6200,7363,18
garlic,8,6320,6200,7000,18
garlic,9,6580,6400,7148,16
garlic,10,7500,7000,7500,17
garlic,11,7450,7310,7788,14
