slug,recall_number,report_date,classification,status,recalling_firm,distribution_states,product
strawberry,F-1762-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Strawberry, Kiwi, Blueberry packaged in the following sizes and brands: 1. Item 80846. Net Wt. 12 oz. Keep Refrigerated. Crazy Fresh, quick & easy, and grocery store branded. 2. I…"
strawberry,F-1754-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Strawberry, Blueberry, and Blackberry packaged in the following brands and sizes: 1. Item 80610. Triple Berry Blend Net Wt. 14 oz. Crazy Fresh 2. Item 80867. Triple Berry Blend Ne…"
strawberry,F-1313-2022,2022-06-22,Class II,Terminated,THISTLE HEALTH INC,"U.S. distribution to the following: CA, NV, OR, WA No foreign distribution.","Thistle Watermelon Berry Cold-Pressed Organic Juice watermelon strawberry lime chia 32 FL OZ (355 mL) Keep Refrigerated Distributed By: Thistle Health, Inc., Vacaville, CA 95688"
strawberry,F-1314-2022,2022-06-22,Class II,Terminated,THISTLE HEALTH INC,"U.S. distribution to the following: CA, NV, OR, WA No foreign distribution.",Thistle Tropical Limeade Cold-Pressed Organic Juice watermelon pineapple lime strawberry papaya activated charcoal 32 FL OZ (355 mL) Keep Refrigerated Distributed By: Thistle Heal…
strawberry,F-1067-2022,2022-05-25,Class III,Terminated,Driscoll's Inc.,"Product shipped to 13 DC's located in CA, TX, OR, IL, MD, FL, NC, WI","Driscoll's Blackberries (Fresh) 12x6 oz, 12x12 oz, 12x10 oz, 2x8x18 oz Clamshell Distributed by Strawberry Associated, Inc. Watsonville, CA Product of Mexico"
strawberry,F-0840-2022,2022-03-16,Class II,Terminated,"Chicago Sweet Connections, Inc.",Retail locations in IL and WI,Chicago Sweet Connections: Paczkis - Strawberry Flavor packaged in a clear plastic clamshell 4 pack
strawberry,F-0904-2021,2021-09-08,Class II,Terminated,Loffredo Fresh Gardens Inc. DBA Produce Innovations,"Distributed to retail stores in IA, IN, MO, MN, NE, OK, and TX.","Your Way Fresh, Sliced Banana + Strawberry Yogurt Parfait; Net wt. 6.25 oz (177 g); UPC 8 54426 00807 8; Distributed by Your Way Fresh, Newport Beach, CA, 12 cups per case;"
strawberry,F-0107-2021,2020-11-18,Class I,Terminated,Meijer Inc./Traffic Dept.,"Meijer stores in Michigan, Ohio, Indiana, Illinois, Kentucky and Wisconsin.","FRESH FROM MEIJER GS STRAWBERRY/PINEAPPLE CUP 6 OZ, 6oz Clear plastic container, UPC 219711302291"
sweet-potato,H-0134-2026,2025-10-22,Class II,Ongoing,Sprout Organics Inc.,"U.S. States: AZ, CA, CO, CT, FL, GA, HI, ID, IN, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, PA, RI…","6+ Months SPROUT ORGANICS Made With Organic Sweet Potato, Apple & Spinach NET WT. 3.5 OZ (99g) INGREDIENTS: ORGANIC SWEET POTATOES, ORGANIC APPLES, ORGANIC SPINACH, WATER, ORGANIC…"
sweet-potato,F-1769-2022,2022-09-28,Class II,Terminated,"Russ Davis Wholesale, LLC","IA, MI, MN, ND, SD, WI","Riced Sweet Potato & Cauliflower. Keep Refrigerated. Item 80998. Net Wt. 12 oz. Packed under brands: Crazy Fresh, quick & easy, and grocery store branded."
tea,H-0853-2026,2026-05-20,Class I,Terminated,"Pure Ground Ingredients, Inc.",Distributed to CA.,"Pure Ground Ingredients-Organic Peppermint Leaf Powder. wholesale bulk; tea/food manufacturers. Closed container stored in a cool settings at ambient/room temperature, free of dir…"
tea,F-0109-2025,2024-11-13,Class III,Terminated,My Chai Inc,Nationwide,"MyChai Chai Tea Concentrate Super. Product is packaged in the same square 0.5 gallon HDPE plastic bottles and have volumes of 68 fl oz. Ingredients: Water, Sugar, Organic Black Te…"
